drug_name,medical_condition,drug_classes,activity,pregnancy_category,rating,no_of_reviews,side_effect_categories
1858,Acne,165,6.0,3,7.8,32.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
2516,Acne,274,6.0,3,5.0,1.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'blood_pressure']"
111,Acne,165,5.0,3,8.8,5.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'blood_pressure']"
112,Acne,165,5.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
113,Acne,274,5.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
114,Acne,165,5.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
389,Acne,165,5.0,3,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'blood_pressure']"
418,Acne,233,5.0,3,6.0,32.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
770,Acne,245,5.0,1,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
778,Acne,245,5.0,1,10.0,2.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
1058,Acne,274,5.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
1212,Acne,247,5.0,1,10.0,1.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
1861,Acne,165,5.0,3,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'blood_pressure']"
2026,Acne,165,5.0,3,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'blood_pressure']"
745,Acne,167,4.0,5,8.2,116.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
774,Acne,245,4.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
1245,Acne,245,4.0,1,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
1839,Acne,237,4.0,3,6.7,13.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'sleep_disorder', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
2837,Acne,105,4.0,5,6.7,267.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
101,Acne,245,3.0,2,7.3,909.0,"['allergic', 'neurological', 'dermatological']"
775,Acne,245,3.0,1,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
776,Acne,250,3.0,1,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
777,Acne,250,3.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
781,Acne,245,3.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
782,Acne,245,3.0,1,0.0,0.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'dermatological', 'systemic', 'weight_appetite', 'blood_pressure']"
1834,Acne,29,3.0,4,7.0,1.0,"['gastrointestinal', 'allergic']"
2386,Acne,233,3.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
2836,Acne,105,3.0,5,6.4,193.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
2861,Acne,245,3.0,2,7.5,76.0,"['allergic', 'dermatological', 'blood_pressure']"
16,Acne,176,2.0,5,6.6,5.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
18,Acne,245,2.0,2,7.3,57.0,"['allergic', 'dermatological', 'blood_pressure']"
255,Acne,167,2.0,5,7.8,27.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
398,Acne,246,2.0,1,7.4,35.0,"['allergic', 'muscle_pain', 'dermatological']"
798,Acne,274,2.0,3,9.0,2.0,['other']
899,Acne,245,2.0,2,7.3,252.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'blood_pressure']"
1076,Acne,245,2.0,2,7.3,274.0,"['allergic', 'neurological', 'dermatological', 'blood_pressure']"
1153,Acne,247,2.0,1,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
1183,Acne,245,2.0,2,7.2,115.0,"['allergic', 'neurological', 'dermatological']"
1208,Acne,247,2.0,1,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
1205,Acne,247,2.0,1,10.0,1.0,['other']
1891,Acne,167,2.0,5,8.7,10.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
2017,Acne,245,2.0,2,8.6,33.0,"['allergic', 'neurological', 'dermatological', 'blood_pressure']"
2135,Acne,29,2.0,4,8.0,1.0,"['gastrointestinal', 'allergic']"
2343,Acne,249,2.0,2,7.0,3.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
2434,Acne,247,2.0,1,0.0,0.0,['other']
2554,Acne,247,2.0,1,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological', 'blood_pressure']"
17,Acne,176,1.0,5,0.0,0.0,"['allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'hearing', 'blood_pressure', 'diabetes']"
63,Acne,237,1.0,3,0.0,0.0,['other']
73,Acne,245,1.0,2,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
77,Acne,249,1.0,2,10.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
141,Acne,237,1.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'dermatological', 'systemic', 'weight_appetite']"
268,Acne,274,1.0,3,9.0,1.0,"['neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
362,Acne,245,1.0,2,8.1,35.0,['allergic']
390,Acne,245,1.0,2,10.0,1.0,"['allergic', 'muscle_pain', 'dermatological']"
401,Acne,246,1.0,1,7.4,5.0,"['allergic', 'muscle_pain', 'dermatological']"
465,Acne,245,1.0,2,7.7,9.0,"['allergic', 'neurological', 'dermatological', 'blood_pressure']"
477,Acne,245,1.0,2,7.6,54.0,"['allergic', 'neurological', 'dermatological', 'blood_pressure']"
480,Acne,245,1.0,2,10.0,2.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
491,Acne,105,1.0,5,7.3,34.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
536,Acne,237,1.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'dermatological', 'systemic', 'weight_appetite']"
764,Acne,274,1.0,3,0.0,0.0,"['gastrointestinal', 'neurological', 'muscle_pain', 'dermatological', 'systemic', 'vision', 'weight_appetite', 'blood_pressure']"
780,Acne,245,1.0,2,7.6,183.0,"['allergic', 'dermatological', 'blood_pressure']"
1073,Acne,105,1.0,5,6.4,669.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
1109,Acne,237,1.0,3,8.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'sleep_disorder', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
1221,Acne,105,1.0,5,4.8,32.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
1231,Acne,105,1.0,5,5.4,489.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
1389,Acne,105,1.0,5,7.3,54.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
1728,Acne,105,1.0,5,5.7,45.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
1750,Acne,29,1.0,4,8.3,3.0,"['gastrointestinal', 'allergic']"
1840,Acne,179,1.0,3,9.0,1.0,"['gastrointestinal', 'allergic', 'renal', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'blood_pressure']"
1841,Acne,237,1.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'sleep_disorder', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
1992,Acne,105,1.0,5,7.5,25.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
2068,Acne,245,1.0,2,8.5,6.0,"['allergic', 'neurological', 'dermatological']"
2069,Acne,245,1.0,2,9.5,2.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
2392,Acne,237,1.0,6,8.7,7.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'vision', 'blood_pressure']"
2430,Acne,167,1.0,5,8.0,3.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
2465,Acne,253,1.0,2,7.5,36.0,"['allergic', 'dermatological']"
2520,Acne,248,1.0,5,7.3,52.0,"['allergic', 'muscle_pain', 'dermatological']"
2624,Acne,105,1.0,5,5.2,36.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision', 'sexual_health', 'weight_appetite', 'blood_pressure']"
2625,Acne,105,1.0,5,5.0,149.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision', 'sexual_health', 'weight_appetite', 'blood_pressure']"
2755,Acne,245,1.0,2,7.4,42.0,"['allergic', 'dermatological', 'blood_pressure']"
2823,Acne,237,1.0,3,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'sleep_disorder', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
2852,Acne,176,1.0,5,7.7,11.0,"['gastrointestinal', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'hearing', 'weight_appetite', 'blood_pressure']"
62,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
74,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
75,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
76,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
78,Acne,245,0.0,4,5.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular']"
79,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
80,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
132,Acne,245,0.0,6,0.0,0.0,['dermatological']
133,Acne,245,0.0,2,8.0,1.0,['other']
134,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
158,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
208,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
209,Acne,253,0.0,1,8.3,3.0,"['allergic', 'dermatological']"
216,Acne,245,0.0,2,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological']"
309,Acne,245,0.0,5,2.0,3.0,"['allergic', 'muscle_pain', 'dermatological']"
377,Acne,253,0.0,2,10.0,1.0,"['allergic', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
381,Acne,253,0.0,2,0.0,0.0,['other']
382,Acne,253,0.0,2,0.0,0.0,['other']
383,Acne,253,0.0,2,0.0,0.0,['other']
378,Acne,253,0.0,2,8.0,1.0,['other']
379,Acne,253,0.0,2,0.0,0.0,"['allergic', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
380,Acne,253,0.0,2,0.0,0.0,"['allergic', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
458,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
459,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
460,Acne,245,0.0,2,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
461,Acne,245,0.0,2,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
463,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
464,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
466,Acne,245,0.0,2,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological']"
467,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
468,Acne,245,0.0,2,10.0,1.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
469,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
470,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
478,Acne,245,0.0,2,10.0,1.0,"['allergic', 'neurological', 'muscle_pain', 'dermatological', 'mental_health', 'sexual_health', 'weight_appetite']"
479,Acne,245,0.0,2,8.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'dermatological']"
481,Acne,245,0.0,6,0.0,0.0,"['allergic', 'muscle_pain', 'dermatological']"
499,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
521,Acne,253,0.0,2,0.0,0.0,"['allergic', 'dermatological']"
524,Acne,245,0.0,2,0.0,0.0,['other']
525,Acne,245,0.0,2,0.0,1.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
523,Acne,245,0.0,2,9.0,1.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
528,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological']"
529,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
677,Acne,249,0.0,2,10.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
746,Acne,253,0.0,2,8.1,7.0,"['allergic', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'blood_pressure']"
757,Acne,245,0.0,6,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'dermatological', 'weight_appetite', 'blood_pressure']"
758,Acne,245,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'dermatological']"
759,Acne,245,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'dermatological']"
763,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
821,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
938,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
981,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
1074,Acne,105,0.0,5,7.0,37.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
1084,Acne,29,0.0,4,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
1097,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
1179,Acne,245,0.0,2,0.0,0.0,['other']
1230,Acne,106,0.0,5,3.8,187.0,"['gastrointestinal', 'allergic', 'neurological', 'renal', 'muscle_pain', 'cardiovascular', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
1248,Acne,29,0.0,4,0.0,0.0,"['gastrointestinal', 'allergic']"
1264,Acne,245,0.0,5,7.1,9.0,"['allergic', 'muscle_pain', 'dermatological']"
1352,Acne,249,0.0,2,0.0,0.0,"['allergic', 'neurological', 'cardiovascular', 'dermatological', 'systemic', 'hearing']"
1353,Acne,175,0.0,4,10.0,1.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
1354,Acne,175,0.0,4,0.0,0.0,['other']
1355,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
1474,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
1546,Acne,245,0.0,2,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
1547,Acne,245,0.0,2,8.0,1.0,"['gastrointestinal', 'allergic', 'neurological', 'dermatological']"
1548,Acne,245,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'dermatological']"
1602,Acne,105,0.0,5,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
1693,Acne,175,0.0,4,0.0,0.0,"['allergic', 'dermatological']"
1694,Acne,175,0.0,4,0.0,0.0,"['allergic', 'dermatological']"
1705,Acne,105,0.0,5,0.0,0.0,"['allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'mental_health', 'vision', 'blood_pressure']"
1792,Acne,175,0.0,4,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
1857,Acne,105,0.0,5,5.7,6.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'dermatological', 'systemic', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
1928,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological', 'blood_pressure']"
1929,Acne,245,0.0,2,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
1930,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
1945,Acne,105,0.0,5,5.2,46.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular', 'liver', 'sleep_disorder', 'mental_health', 'vision', 'weight_appetite', 'blood_pressure']"
2034,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
2050,Acne,245,0.0,2,8.7,3.0,"['allergic', 'neurological', 'dermatological']"
2049,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
2060,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
2070,Acne,245,0.0,2,0.0,0.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
2109,Acne,175,0.0,4,10.0,2.0,"['allergic', 'cardiovascular', 'dermatological', 'systemic']"
2111,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
2149,Acne,253,0.0,2,0.0,0.0,"['allergic', 'dermatological']"
2205,Acne,249,0.0,2,0.0,0.0,"['allergic', 'neurological', 'cardiovascular', 'dermatological', 'systemic', 'hearing']"
2234,Acne,255,0.0,4,0.0,0.0,"['allergic', 'cardiovascular', 'blood_pressure']"
2272,Acne,255,0.0,4,0.0,0.0,"['allergic', 'cardiovascular', 'blood_pressure']"
2275,Acne,274,0.0,4,7.5,2.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'cardiovascular']"
2274,Acne,255,0.0,4,0.0,0.0,"['allergic', 'cardiovascular', 'blood_pressure']"
2277,Acne,253,0.0,1,8.3,3.0,"['allergic', 'dermatological']"
2288,Acne,245,0.0,2,0.0,0.0,"['allergic', 'neurological', 'dermatological']"
2339,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
2340,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
2342,Acne,249,0.0,2,0.0,0.0,"['gastrointestinal', 'allergic', 'neurological', 'muscle_pain', 'dermatological', 'hearing']"
